path	baseline	new	delta
bin/bootstrap/fruityos-x86_64/concat.fap	429	429	0
bin/bootstrap/fruityos-x86_64/jus.fap	2082	2082	0
bin/bootstrap/fruityos-x86_64/orgasm.fap	8316	8316	0
bin/concat.fap	1042	788	-254
bin/copy.fap	1064	809	-255
bin/del.fap	903	645	-258
bin/dir.fap	1349	1085	-264
bin/echo.fap	867	612	-255
bin/fill.fap	1124	869	-255
bin/fred.fap	2121	1860	-261
bin/haruka.fap	10217	9958	-259
bin/inode.fap	1377	1112	-265
bin/jar.fap	1703	1440	-263
bin/jus.fap	2136	1875	-261
bin/mars.fap	10631	10557	-74
bin/mkdir.fap	867	611	-256
bin/move.fap	898	642	-256
bin/pad.fap	1289	1032	-257
bin/pish.fap	2551	2294	-257
bin/rmdir.fap	867	611	-256
bin/type.fap	1012	756	-256
bin/uefi.fap	2629	2363	-266
bin/write.fap	1240	980	-260
haruka/out/fruityos-x86_64/haruka.fap	10217	9958	-259
initrd/bin/concat.fap	1042	788	-254
initrd/bin/copy.fap	1064	809	-255
initrd/bin/del.fap	903	645	-258
initrd/bin/dir.fap	1349	1085	-264
initrd/bin/echo.fap	867	612	-255
initrd/bin/fill.fap	1124	869	-255
initrd/bin/fred.fap	2121	1860	-261
initrd/bin/haruka.fap	10217	9958	-259
initrd/bin/inode.fap	1377	1112	-265
initrd/bin/jabara.fap	15944	15944	0
initrd/bin/jar.fap	1703	1440	-263
initrd/bin/jus.fap	2136	1875	-261
initrd/bin/mars.fap	10631	10557	-74
initrd/bin/mkdir.fap	867	611	-256
initrd/bin/move.fap	898	642	-256
initrd/bin/orgasm.fap	9202	9202	0
initrd/bin/pad.fap	1289	1032	-257
initrd/bin/pish.fap	2551	2294	-257
initrd/bin/rmdir.fap	867	611	-256
initrd/bin/type.fap	1012	756	-256
initrd/bin/write.fap	1240	980	-260
jabara/out/fruityos-x86_64/jc.fap	15944	15944	0
jabara/out/fruityos-x86_64/orgasm.fap	9202	9202	0
peel/out/fruityos-x86_64/concat.fap	1042	788	-254
peel/out/fruityos-x86_64/copy.fap	1064	809	-255
peel/out/fruityos-x86_64/del.fap	903	645	-258
peel/out/fruityos-x86_64/dir.fap	1349	1085	-264
peel/out/fruityos-x86_64/echo.fap	867	612	-255
peel/out/fruityos-x86_64/fill.fap	1124	869	-255
peel/out/fruityos-x86_64/fred.fap	2121	1860	-261
peel/out/fruityos-x86_64/inode.fap	1377	1112	-265
peel/out/fruityos-x86_64/jar.fap	1703	1440	-263
peel/out/fruityos-x86_64/jus.fap	2136	1875	-261
peel/out/fruityos-x86_64/mkdir.fap	867	611	-256
peel/out/fruityos-x86_64/move.fap	898	642	-256
peel/out/fruityos-x86_64/pad.fap	1289	1032	-257
peel/out/fruityos-x86_64/pish.fap	2551	2294	-257
peel/out/fruityos-x86_64/rmdir.fap	867	611	-256
peel/out/fruityos-x86_64/type.fap	1012	756	-256
peel/out/fruityos-x86_64/uefi.fap	2629	2363	-266
peel/out/fruityos-x86_64/write.fap	1240	980	-260
sol/mars/out/fruityos-x86_64/mars.fap	10631	10557	-74
yuzu/out/fruityos-x86_64/byc.fap	5636	5369	-267
yuzu/out/fruityos-x86_64/yc.fap	5636	5369	-267
yuzu/out/fruityos-x86_64/zest.fap	4621	4362	-259
