path	bytes	under_8KiB
bin/bootstrap/fruityos-x86_64/concat.fap	429	yes
bin/bootstrap/fruityos-x86_64/jus.fap	2082	yes
bin/bootstrap/fruityos-x86_64/orgasm.fap	8316	no
bin/concat.fap	1042	yes
bin/copy.fap	1064	yes
bin/del.fap	903	yes
bin/dir.fap	1349	yes
bin/echo.fap	867	yes
bin/fill.fap	1124	yes
bin/fred.fap	2121	yes
bin/haruka.fap	10217	no
bin/inode.fap	1377	yes
bin/jar.fap	1703	yes
bin/jus.fap	2136	yes
bin/mars.fap	10631	no
bin/mkdir.fap	867	yes
bin/move.fap	898	yes
bin/pad.fap	1289	yes
bin/pish.fap	2551	yes
bin/rmdir.fap	867	yes
bin/type.fap	1012	yes
bin/uefi.fap	2629	yes
bin/write.fap	1240	yes
haruka/out/fruityos-x86_64/haruka.fap	10217	no
initrd/bin/concat.fap	1042	yes
initrd/bin/copy.fap	1064	yes
initrd/bin/del.fap	903	yes
initrd/bin/dir.fap	1349	yes
initrd/bin/echo.fap	867	yes
initrd/bin/fill.fap	1124	yes
initrd/bin/fred.fap	2121	yes
initrd/bin/haruka.fap	10217	no
initrd/bin/inode.fap	1377	yes
initrd/bin/jabara.fap	15944	no
initrd/bin/jar.fap	1703	yes
initrd/bin/jus.fap	2136	yes
initrd/bin/mars.fap	10631	no
initrd/bin/mkdir.fap	867	yes
initrd/bin/move.fap	898	yes
initrd/bin/orgasm.fap	9202	no
initrd/bin/pad.fap	1289	yes
initrd/bin/pish.fap	2551	yes
initrd/bin/rmdir.fap	867	yes
initrd/bin/type.fap	1012	yes
initrd/bin/write.fap	1240	yes
jabara/out/fruityos-x86_64/jc.fap	15944	no
jabara/out/fruityos-x86_64/orgasm.fap	9202	no
peel/out/fruityos-x86_64/concat.fap	1042	yes
peel/out/fruityos-x86_64/copy.fap	1064	yes
peel/out/fruityos-x86_64/del.fap	903	yes
peel/out/fruityos-x86_64/dir.fap	1349	yes
peel/out/fruityos-x86_64/echo.fap	867	yes
peel/out/fruityos-x86_64/fill.fap	1124	yes
peel/out/fruityos-x86_64/fred.fap	2121	yes
peel/out/fruityos-x86_64/inode.fap	1377	yes
peel/out/fruityos-x86_64/jar.fap	1703	yes
peel/out/fruityos-x86_64/jus.fap	2136	yes
peel/out/fruityos-x86_64/mkdir.fap	867	yes
peel/out/fruityos-x86_64/move.fap	898	yes
peel/out/fruityos-x86_64/pad.fap	1289	yes
peel/out/fruityos-x86_64/pish.fap	2551	yes
peel/out/fruityos-x86_64/rmdir.fap	867	yes
peel/out/fruityos-x86_64/type.fap	1012	yes
peel/out/fruityos-x86_64/uefi.fap	2629	yes
peel/out/fruityos-x86_64/write.fap	1240	yes
sol/mars/out/fruityos-x86_64/mars.fap	10631	no
yuzu/out/fruityos-x86_64/byc.fap	5636	yes
yuzu/out/fruityos-x86_64/yc.fap	5636	yes
yuzu/out/fruityos-x86_64/zest.fap	4621	yes
